Actual,Predicted,Error
0.0,44.96929007382852,-44.96929007382852
0.0,45.46254034506768,-45.46254034506768
0.0,45.30520548335164,-45.30520548335164
0.0,45.445433541223565,-45.445433541223565
0.0,45.29428619259119,-45.29428619259119
0.0,45.366619010451586,-45.366619010451586
0.0,45.403266206703506,-45.403266206703506
0.0,45.163429101870236,-45.163429101870236
0.0,45.362690996454376,-45.362690996454376
0.0,45.42900852404813,-45.42900852404813
0.0,45.46158766786101,-45.46158766786101
0.0,45.17451204490709,-45.17451204490709
0.0,45.46303785704504,-45.46303785704504
0.0,45.45992749595041,-45.45992749595041
0.0,45.39655391673796,-45.39655391673796
0.0,45.39701676949784,-45.39701676949784
0.0,45.46378613133129,-45.46378613133129
0.0,45.235050468631755,-45.235050468631755
0.0,45.44520032296555,-45.44520032296555
0.0,45.459473770837064,-45.459473770837064
0.0,44.983023871274554,-44.983023871274554
0.0,45.45999688400832,-45.45999688400832
0.0,44.90648200324455,-44.90648200324455
0.0,45.39973227448377,-45.39973227448377
0.0,45.40234223507747,-45.40234223507747
0.0,45.396664416781675,-45.396664416781675
0.0,45.396710519734825,-45.396710519734825
0.0,45.40119767727549,-45.40119767727549
0.0,45.39737448949842,-45.39737448949842
0.0,45.39666631121855,-45.39666631121855
0.0,45.3969420069655,-45.3969420069655
0.0,45.40006867423858,-45.40006867423858
0.0,45.3987795972771,-45.3987795972771
0.0,45.11170397432312,-45.11170397432312
0.0,45.40022978646107,-45.40022978646107
0.0,45.39711942536644,-45.39711942536644
0.0,45.39816065016163,-45.39816065016163
0.0,45.400856420016,-45.400856420016
0.0,45.40097806074738,-45.40097806074738
0.0,45.17224239804784,-45.17224239804784
0.0,45.39696589994412,-45.39696589994412
0.0,45.396665700253095,-45.396665700253095
0.0,44.92021580069064,-44.92021580069064
0.0,45.39718881342441,-45.39718881342441
0.0,44.90780388016907,-44.90780388016907
0.0,45.40105415140823,-45.40105415140823
0.0,45.403664112001934,-45.403664112001934
0.0,45.3979862937062,-45.3979862937062
0.0,45.39803239665929,-45.39803239665929
0.0,45.40251955420001,-45.40251955420001
0.0,45.39869636642288,-45.39869636642288
0.0,45.397988188143074,-45.397988188143074
0.0,45.398263883890024,-45.398263883890024
0.0,45.40139055116305,-45.40139055116305
0.0,45.40010147420156,-45.40010147420156
0.0,45.11302585124764,-45.11302585124764
0.0,45.40155166338559,-45.40155166338559
0.0,45.39844130229096,-45.39844130229096
0.0,45.39948252708609,-45.39948252708609
0.0,45.40217829694046,-45.40217829694046
0.0,45.40229993767184,-45.40229993767184
0.0,45.17356427497231,-45.17356427497231
0.0,45.39828777686864,-45.39828777686864
0.0,45.39798757717762,-45.39798757717762
0.0,44.92153767761516,-44.92153767761516
0.0,45.39851069034887,-45.39851069034887
0.0,44.90786526935392,-44.90786526935392
0.0,45.40111554059314,-45.40111554059314
0.0,45.40372550118684,-45.40372550118684
0.0,45.39804768289105,-45.39804768289105
0.0,45.398093785844196,-45.398093785844196
0.0,45.40258094338486,-45.40258094338486
0.0,45.39875775560779,-45.39875775560779
0.0,45.398049577327924,-45.398049577327924
0.0,45.398325273074875,-45.398325273074875
0.0,45.401451940347954,-45.401451940347954
0.0,45.40016286338647,-45.40016286338647
0.0,45.11308724043249,-45.11308724043249
0.0,45.40161305257044,-45.40161305257044
0.0,45.39850269147581,-45.39850269147581
0.0,45.399543916271,-45.399543916271
0.0,45.40223968612537,-45.40223968612537
0.0,45.40236132685675,-45.40236132685675
0.0,45.173625664157214,-45.173625664157214
0.0,45.39834916605349,-45.39834916605349
0.0,45.39804896636247,-45.39804896636247
0.0,44.92159906680001,-44.92159906680001
0.0,45.39857207953378,-45.39857207953378
0.0,45.071656947780696,-45.071656947780696
0.0,45.46687036988027,-45.46687036988027
0.0,45.46948033047397,-45.46948033047397
0.0,45.46380251217818,-45.46380251217818
0.0,45.463848615131326,-45.463848615131326
0.0,45.46833577267205,-45.46833577267205
0.0,45.46451258489492,-45.46451258489492
0.0,45.46380440661511,-45.46380440661511
0.0,45.46408010236206,-45.46408010236206
0.0,45.467206769635084,-45.467206769635084
0.0,45.4659176926736,-45.4659176926736
0.0,45.17884206971968,-45.17884206971968
0.0,45.467367881857626,-45.467367881857626
0.0,45.464257520763,-45.464257520763
